1377 東証1部 (株)サカタのタネ（水産・農林業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","3285","3395","3255","3380","96500","3380"
"2019-01-07","3480","3520","3455","3470","52300","3470"
"2019-01-08","3470","3495","3365","3390","95000","3390"
"2019-01-09","3450","3505","3440","3500","60900","3500"
"2019-01-10","3495","3495","3390","3395","44300","3395"
"2019-01-11","3455","3455","3320","3360","111700","3360"
"2019-01-15","3495","3565","3400","3525","269700","3525"
"2019-01-16","3510","3565","3460","3520","97200","3520"
"2019-01-17","3500","3525","3470","3495","68800","3495"
"2019-01-18","3525","3590","3495","3565","82700","3565"
"2019-01-21","3590","3620","3565","3605","72700","3605"
"2019-01-22","3610","3615","3545","3545","54000","3545"
"2019-01-23","3530","3600","3505","3555","86200","3555"
"2019-01-24","3560","3580","3535","3560","56000","3560"
"2019-01-25","3530","3580","3530","3535","66700","3535"
"2019-01-28","3520","3570","3500","3560","56900","3560"
"2019-01-29","3600","3635","3565","3620","91100","3620"
"2019-01-30","3615","3640","3580","3615","80300","3615"
"2019-01-31","3650","3665","3570","3585","66900","3585"
"2019-02-01","3600","3645","3595","3610","51300","3610"
"2019-02-04","3615","3675","3615","3670","93500","3670"
"2019-02-05","3670","3730","3670","3725","54000","3725"
"2019-02-06","3740","3740","3650","3665","56300","3665"
"2019-02-07","3600","3630","3565","3615","102900","3615"
"2019-02-08","3565","3650","3565","3595","95700","3595"
"2019-02-12","3590","3605","3540","3590","121500","3590"
"2019-02-13","3605","3680","3600","3645","96600","3645"
"2019-02-14","3670","3715","3630","3645","82600","3645"
"2019-02-15","3640","3655","3590","3625","66900","3625"
"2019-02-18","3745","3745","3660","3725","98300","3725"
"2019-02-19","3750","3780","3735","3760","74600","3760"
"2019-02-20","3785","3785","3720","3725","74100","3725"
"2019-02-21","3750","3800","3735","3795","78200","3795"
"2019-02-22","3765","3765","3715","3735","50200","3735"
"2019-02-25","3770","3785","3745","3780","54700","3780"
"2019-02-26","3780","3795","3740","3755","70000","3755"
"2019-02-27","3770","3770","3720","3745","58800","3745"
"2019-02-28","3760","3775","3720","3775","67900","3775"
"2019-03-01","3775","3820","3765","3775","92500","3775"
"2019-03-04","3800","3885","3790","3875","115800","3875"
"2019-03-05","3840","3880","3820","3880","120800","3880"
"2019-03-06","3880","3895","3850","3860","92000","3860"
"2019-03-07","3820","3900","3820","3855","99700","3855"
"2019-03-08","3805","3825","3785","3795","90600","3795"
"2019-03-11","3780","3820","3765","3810","82800","3810"
"2019-03-12","3850","3905","3850","3875","76000","3875"
"2019-03-13","3835","3885","3815","3845","83500","3845"
"2019-03-14","3885","3900","3860","3860","81100","3860"
"2019-03-15","3910","3965","3910","3945","171100","3945"
"2019-03-18","3935","3975","3915","3960","112200","3960"
"2019-03-19","3960","3960","3910","3935","57200","3935"
"2019-03-20","3950","3990","3930","3990","61200","3990"
"2019-03-22","3945","3975","3850","3860","145600","3860"
"2019-03-25","3815","3815","3705","3715","113700","3715"
"2019-03-26","3745","3855","3745","3840","136700","3840"
"2019-03-27","3840","3860","3795","3845","109400","3845"
"2019-03-28","3780","3790","3705","3705","100500","3705"
"2019-03-29","3750","3795","3740","3765","112300","3765"
"2019-04-01","3790","3825","3775","3790","119900","3790"
"2019-04-02","3815","3825","3720","3730","74700","3730"
"2019-04-03","3715","3715","3665","3680","157300","3680"
"2019-04-04","3730","3830","3690","3735","120400","3735"
"2019-04-05","3550","3665","3540","3655","302300","3655"
"2019-04-08","3630","3690","3605","3640","223000","3640"
"2019-04-09","3680","3685","3625","3635","90300","3635"
"2019-04-10","3630","3650","3600","3640","78800","3640"
"2019-04-11","3640","3665","3625","3650","89400","3650"
"2019-04-12","3665","3665","3550","3560","141500","3560"
"2019-04-15","3610","3660","3600","3635","166600","3635"
"2019-04-16","3605","3630","3580","3600","133800","3600"
"2019-04-17","3580","3615","3545","3565","131200","3565"
"2019-04-18","3540","3545","3455","3455","141200","3455"
"2019-04-19","3490","3515","3470","3480","82700","3480"
"2019-04-22","3470","3515","3460","3500","82800","3500"
"2019-04-23","3530","3630","3530","3620","132000","3620"
"2019-04-24","3620","3620","3515","3525","124100","3525"
"2019-04-25","3550","3580","3535","3575","85600","3575"
"2019-04-26","3565","3570","3520","3535","83100","3535"
"2019-05-07","3590","3610","3555","3595","126000","3595"
"2019-05-08","3555","3580","3540","3570","134000","3570"
"2019-05-09","3540","3540","3425","3425","162500","3425"
"2019-05-10","3390","3435","3350","3380","144500","3380"
"2019-05-13","3380","3440","3340","3375","121900","3375"
"2019-05-14","3320","3435","3300","3425","108200","3425"
"2019-05-15","3450","3465","3415","3460","104500","3460"
"2019-05-16","3465","3515","3460","3495","101500","3495"
"2019-05-17","3535","3535","3475","3485","117500","3485"
"2019-05-20","3465","3475","3435","3450","107400","3450"
"2019-05-21","3440","3450","3410","3435","89800","3435"
"2019-05-22","3445","3450","3400","3400","83000","3400"
"2019-05-23","3410","3485","3400","3475","147400","3475"
"2019-05-24","3445","3495","3445","3485","167600","3485"
"2019-05-27","3485","3485","3450","3450","280900","3450"
"2019-05-28","3430","3455","3420","3425","554500","3425"
"2019-05-29","3395","3410","3325","3380","202800","3380"
"2019-05-30","3340","3355","3285","3315","103100","3315"
"2019-05-31","3330","3355","3295","3300","111500","3300"
"2019-06-03","3235","3250","3195","3195","83200","3195"
"2019-06-04","3255","3265","3165","3180","141700","3180"
"2019-06-05","3250","3285","3220","3285","123200","3285"
"2019-06-06","3300","3360","3295","3320","61900","3320"
"2019-06-07","3325","3355","3300","3310","54800","3310"
"2019-06-10","3350","3400","3335","3385","65500","3385"
"2019-06-11","3350","3365","3340","3360","71700","3360"
"2019-06-12","3350","3380","3340","3355","60900","3355"
"2019-06-13","3335","3355","3300","3340","75900","3340"
"2019-06-14","3330","3330","3275","3295","92300","3295"
"2019-06-17","3290","3305","3260","3265","55600","3265"
"2019-06-18","3245","3285","3200","3205","67600","3205"
"2019-06-19","3240","3275","3230","3250","86700","3250"
"2019-06-20","3270","3320","3270","3295","105900","3295"
"2019-06-21","3295","3295","3245","3280","118300","3280"
"2019-06-24","3260","3275","3240","3250","74100","3250"
"2019-06-25","3230","3270","3180","3200","134000","3200"
"2019-06-26","3180","3190","3140","3145","75800","3145"
"2019-06-27","3155","3210","3145","3160","111400","3160"
"2019-06-28","3130","3160","3120","3145","95300","3145"
"2019-07-01","3180","3230","3155","3230","94800","3230"
"2019-07-02","3220","3270","3210","3245","76600","3245"
"2019-07-03","3235","3245","3205","3220","92400","3220"
"2019-07-04","3235","3295","3235","3270","50700","3270"
"2019-07-05","3260","3260","3225","3250","51700","3250"
"2019-07-08","3230","3235","3175","3205","83500","3205"
"2019-07-09","3205","3240","3200","3215","116900","3215"
"2019-07-10","3200","3215","3130","3190","202300","3190"
"2019-07-11","3330","3495","3290","3335","375200","3335"
"2019-07-12","3335","3415","3280","3400","215700","3400"
"2019-07-16","3435","3470","3425","3440","173400","3440"
"2019-07-17","3450","3480","3440","3460","133500","3460"
"2019-07-18","3470","3470","3375","3385","144400","3385"
"2019-07-19","3400","3460","3400","3450","104200","3450"
"2019-07-22","3435","3465","3390","3440","126100","3440"
"2019-07-23","3405","3495","3405","3470","109400","3470"
"2019-07-24","3485","3495","3455","3475","108800","3475"
"2019-07-25","3450","3490","3445","3485","64400","3485"
"2019-07-26","3475","3495","3455","3480","81100","3480"
"2019-07-29","3490","3540","3470","3535","112900","3535"
"2019-07-30","3540","3595","3535","3585","106500","3585"
"2019-07-31","3585","3615","3545","3545","118800","3545"
"2019-08-01","3495","3530","3485","3525","57300","3525"
"2019-08-02","3470","3515","3445","3450","93100","3450"
"2019-08-05","3435","3470","3375","3435","119400","3435"
"2019-08-06","3325","3435","3320","3430","103500","3430"
"2019-08-07","3410","3460","3390","3440","88200","3440"
"2019-08-08","3430","3485","3425","3460","71200","3460"
"2019-08-09","3485","3505","3460","3500","84100","3500"
"2019-08-13","3470","3495","3405","3475","86500","3475"
"2019-08-14","3500","3500","3450","3495","66800","3495"
